1,Aaron Rodgers,GB,QB
2,Drew Brees,NO,QB
3,Cam Newton,CAR,QB
4,Tom Brady,NE,QB
5,Peyton Manning,DEN,QB
6,Russell Wilson,SEA,QB
7,Matt Ryan,ATL,QB
8,Matthew Stafford,DET,QB
9,Colin Kaepernick,SF,QB
10,Robert Griffin III,WAS,QB
11,Tony Romo,DAL,QB
12,Andrew Luck,IND,QB
13,Ben Roethlisberger,PIT,QB
14,Eli Manning,NYG,QB
15,Jay Cutler,CHI,QB
16,Michael Vick,PHI,QB
17,Joe Flacco,BAL,QB
18,Ryan Tannehill,MIA,QB
19,Sam Bradford,STL,QB
20,Carson Palmer,ARZ,QB
21,Josh Freeman,TB,QB
22,Andy Dalton,CIN,QB
23,Matt Schaub,HOU,QB
24,Philip Rivers,SD,QB
25,Alex Smith,KC,QB
26,Brandon Weeden,CLE,QB
27,Jake Locker,TEN,QB
28,E.J. Manuel,BUF,QB
29,Christian Ponder,MIN,QB
30,Matt Flynn,OAK,QB
31,Geno Smith,NYJ,QB
32,Blaine Gabbert,JAC,QB
